Truth,Error
12939264,12939270
12939300,12939295
12939336,12939332
12939372,12939365
12939408,12939410
12939444,12939431
12939480,12939486
12939516,12939511
12939552,12939552
12939588,12939585
12939624,12939629
12939660,12939648
12939696,12939693
12939732,12939729
12939768,12939771
12939804,12939797
12939840,12939838
12939876,12939870
12939912,12939911
12939948,12939948
12939984,12939977
12940020,12940023
12940056,12940058
12940092,12940092
12940128,12940130
12940164,12940159
12940200,12940198
12940236,12940230
12940272,12940269
12940308,12940308
12940344,12940339
12940380,12940377
12944736,12944739
12944772,12944780
12944808,12944808
12944844,12944842
12944880,12944878
12944916,12944914
12944952,12944951
12944988,12944981
12945024,12945020
12945060,12945054
12945096,12945096
12945132,12945129
12945168,12945168
12945204,12945202
12945240,12945242
12945276,12945276
12945312,12945320
12945348,12945337
12945384,12945379
12945420,12945422
12945456,12945466
12945492,12945489
12945528,12945527
12945564,12945561
12945600,12945604
12945636,12945633
12945672,12945673
12945708,12945705
12945744,12945736
12945780,12945780
12945816,12945816
12945852,12945856
12945888,12945886
12945924,12945919
12945960,12945960
12945996,12945996
12946032,12946032
12946068,12946066
12946104,12946107
12946140,12946140
12946176,12946183
12951756,12951754
12951792,12951792
12951828,12951821
12951864,12951867
12951900,12951902
12951936,12951934
12951972,12951974
12952008,12952003
12952044,12952040
12952080,12952079
12952116,12952114
12952152,12952148
12952188,12952183
12952224,12952220
12952260,12952262
12952296,12952285
12952332,12952332
12952368,12952365
12952404,12952405
12952440,12952440
12952476,12952461
12952512,12952512
12952548,12952548
12952584,12952583
12952620,12952616
12952656,12952658
12952692,12952688
12952728,12952735
12952764,12952764
12952800,12952808
12952836,12952831
12952872,12952862
12952908,12952909
12952944,12952946
12952980,12952979
12953016,12953007
12953052,12953048
12953088,12953089
12953124,12953122
12953160,12953158
12953196,12953194
12953232,12953226
12953268,12953264
12953304,12953295
12953340,12953346
12953376,12953372
12953412,12953412
12953448,12953441
12953484,12953485
12953520,12953509
12953556,12953558
12953592,12953590
12953628,12953636
12953664,12953656
12953700,12953699
12953736,12953736
12953772,12953776
12953808,12953804
12953844,12953843
12953880,12953868
12953916,12953910
12953952,12953952
12953988,12953991
12954024,12954021
12954060,12954068
12954096,12954102
12954132,12954130
12954168,12954154
12954204,12954194
12954240,12954235
12954276,12954279
12954312,12954312
12954348,12954336
12954384,12954381
12954420,12954426
12954456,12954453
12954492,12954487
12954528,12954536
12954564,12954563
12954600,12954596
12954636,12954636
12954672,12954671
12954708,12954704
12954744,12954748
12954780,12954783
12954816,12954818
12954852,12954850
12954888,12954891
12954924,12954922
12954960,12954960
12954996,12954999
12955032,12955034
12955068,12955074
12955104,12955104
12955140,12955130
12955176,12955169
12955212,12955216
12955248,12955245
12955284,12955284
12955320,12955314
12955356,12955359
12955392,12955389
12955428,12955433
12955464,12955460
12955500,12955503
12955536,12955537
12955572,12955567
12955608,12955611
12955644,12955638
12955680,12955674
12955716,12955717
12955752,12955747
12955788,12955784
12955824,12955821
12955860,12955853
12955896,12955899
12955932,12955933
12955968,12955966
12956004,12956002
12956040,12956040
12956076,12956082
12956112,12956114
12956148,12956144
12956184,12956185
12956220,12956218
12956256,12956254
12956292,12956299
12956328,12956324
12956364,12956360
12956400,12956389
12956436,12956427
12956472,12956472
12956508,12956503
12956544,12956544
12956580,12956573
12956616,12956611
12956652,12956653
12956688,12956693
12956724,12956724
12956760,12956763
12956796,12956802
12956832,12956835
12956868,12956862
12956904,12956902
12956940,12956941
12956976,12956972
12957012,12957012
12957048,12957039
12957084,12957078
12957120,12957120
12957156,12957143
12957192,12957185
12957228,12957226
12957264,12957254
12957300,12957299
12957336,12957331
12957372,12957369
12957408,12957405
12957444,12957443
12957480,12957476
12957516,12957515
12957552,12957547
12957588,12957588
12957624,12957630
12957660,12957659
12957696,12957695
12957732,12957725
12957768,12957769
12957804,12957799
12957840,12957834
12957876,12957876
12957912,12957911
12957948,12957951
12957984,12957989
12958020,12958016
12958056,12958055
