dirty,truth
1504645591.37,1504645591.37
1504645591.38,1504645591.38
1504645591.39,1504645591.39
1504645591.4,1504645591.4
1504645592.193,1504645592.2
1504645592.203,1504645592.21
1504645592.213,1504645592.22
1504645592.223,1504645592.23
1504645592.233,1504645592.24
1504645592.243,1504645592.25
1504645592.253,1504645592.26
1504645592.263,1504645592.27
1504645592.273,1504645592.28
1504645592.283,1504645592.29
1504645592.293,1504645592.3
1504645592.303,1504645592.31
1504645592.313,1504645592.32
1504645592.323,1504645592.33
1504645592.333,1504645592.34
1504645592.343,1504645592.35
1504645592.353,1504645592.36
1504645592.363,1504645592.37
1504645592.373,1504645592.38
1504645592.383,1504645592.39
1504645592.393,1504645592.4
1504645592.403,1504645592.41
1504645592.413,1504645592.42
1504645592.423,1504645592.43
1504645592.433,1504645592.44
1504645592.443,1504645592.45
1504645592.453,1504645592.46
1504645592.463,1504645592.47
1504645592.473,1504645592.48
1504645592.483,1504645592.49
1504645592.493,1504645592.5
1504645592.503,1504645592.51
1504645592.513,1504645592.52
1504645592.523,1504645592.53
1504645592.533,1504645592.54
1504645592.543,1504645592.55
1504645592.553,1504645592.56
1504645592.563,1504645592.57
1504645592.573,1504645592.58
1504645592.583,1504645592.59
1504645592.593,1504645592.6
1504645592.603,1504645592.61
1504645592.613,1504645592.62
1504645592.623,1504645592.63
1504645592.633,1504645592.64
1504645592.643,1504645592.65
1504645592.653,1504645592.66
1504645592.663,1504645592.67
1504645592.673,1504645592.68
1504645592.683,1504645592.69
1504645592.693,1504645592.7
1504645592.703,1504645592.71
1504645592.713,1504645592.72
1504645592.723,1504645592.73
1504645592.733,1504645592.74
1504645592.743,1504645592.75
1504645592.753,1504645592.76
1504645592.763,1504645592.77
1504645592.773,1504645592.78
1504645592.783,1504645592.79
1504645592.793,1504645592.8
1504645592.803,1504645592.81
1504645592.813,1504645592.82
1504645592.823,1504645594.45
1504645592.823,1504645594.46
1504645592.823,1504645594.47
1504645592.824,1504645594.48
1504645592.824,1504645594.49
1504645592.824,1504645594.5
1504645592.825,1504645594.51
1504645592.825,1504645594.52
