dirty,truth
1504645717.35,1504645717.35
1504645717.365,1504645717.36
1504645717.38,1504645717.37
1504645717.395,1504645717.38
1504645717.41,1504645717.39
1504645717.425,1504645717.4
1504645717.44,1504645717.41
1504645717.455,1504645717.42
1504645717.47,1504645717.43
1504645717.485,1504645717.44
1504645717.5,1504645717.45
1504645717.515,1504645717.46
1504645717.53,1504645717.47
1504645717.545,1504645717.48
1504645717.56,1504645717.49
1504645717.575,1504645717.5
1504645717.59,1504645717.51
1504645717.605,1504645717.52
1504645717.62,1504645717.53
1504645717.635,1504645717.54
1504645717.65,1504645717.55
1504645717.665,1504645717.56
1504645717.68,1504645717.57
1504645717.695,1504645717.58
1504645717.71,1504645717.59
1504645717.725,1504645717.6
1504645717.74,1504645717.61
1504645717.755,1504645717.62
1504645717.77,1504645717.63
1504645717.785,1504645717.64
1504645717.8,1504645717.65
1504645717.815,1504645717.66
1504645717.83,1504645717.67
1504645717.845,1504645717.68
1504645717.86,1504645717.69
1504645717.875,1504645717.7
1504645717.89,1504645717.71
1504645717.905,1504645717.72
1504645717.92,1504645717.73
1504645717.935,1504645717.74
1504645717.95,1504645717.75
1504645717.965,1504645717.76
1504645717.98,1504645717.77
1504645717.995,1504645717.78
1504645718.01,1504645717.79
1504645718.025,1504645717.8
1504645718.04,1504645717.81
1504645718.055,1504645717.82
1504645718.07,1504645717.83
1504645718.085,1504645717.84
1504645718.1,1504645717.85
1504645718.115,1504645717.86
1504645718.13,1504645717.87
1504645718.145,1504645717.88
1504645718.16,1504645717.89
1504645718.175,1504645717.9
1504645718.19,1504645717.91
1504645718.205,1504645717.92
1504645718.22,1504645717.93
1504645718.235,1504645717.94
1504645718.25,1504645717.95
1504645718.265,1504645717.96
1504645718.28,1504645717.97
1504645718.295,1504645717.98
1504645718.31,1504645717.99
1504645718.325,1504645718.0
1504645718.34,1504645718.01
1504645718.355,1504645718.02
1504645718.37,1504645718.03
1504645718.385,1504645718.04
1504645718.4,1504645718.05
1504645718.415,1504645718.06
1504645718.43,1504645718.07
1504645718.445,1504645718.08
1504645718.46,1504645718.09
1504645718.475,1504645718.1
1504645718.49,1504645718.11
1504645718.505,1504645718.12
1504645718.52,1504645718.13
1504645718.535,1504645718.14
1504645718.54,1504645718.15
1504645718.55,1504645718.16
1504645718.56,1504645718.17
1504645718.57,1504645718.18
1504645718.58,1504645718.19
1504645718.59,1504645718.2
1504645718.6,1504645718.21
1504645718.61,1504645718.22
1504645718.62,1504645718.23
1504645718.63,1504645718.24
1504645718.64,1504645718.25
1504645718.65,1504645718.26
1504645718.66,1504645718.27
1504645718.67,1504645718.28
1504645718.68,1504645718.29
1504645718.69,1504645718.3
1504645718.7,1504645718.31
1504645718.71,1504645718.32
1504645718.72,1504645718.33
1504645718.73,1504645718.34
1504645718.74,1504645718.35
1504645718.75,1504645718.36
1504645718.76,1504645718.37
1504645718.77,1504645718.38
1504645718.78,1504645718.39
1504645718.79,1504645718.4
1504645718.8,1504645718.41
1504645718.81,1504645718.42
1504645718.82,1504645718.43
1504645718.83,1504645718.44
1504645718.84,1504645718.45
1504645718.85,1504645718.46
1504645718.86,1504645718.47
1504645718.87,1504645718.48
1504645718.88,1504645718.49
1504645718.89,1504645718.5
1504645718.9,1504645718.51
1504645718.91,1504645718.52
1504645718.92,1504645718.53
1504645718.93,1504645718.54
1504645718.94,1504645718.55
1504645718.95,1504645718.56
1504645718.96,1504645718.57
1504645718.97,1504645718.58
1504645718.98,1504645718.59
1504645718.99,1504645718.6
1504645719.0,1504645718.61
1504645719.01,1504645718.62
1504645719.02,1504645718.63
1504645719.03,1504645718.64
1504645719.04,1504645718.65
1504645719.05,1504645718.66
1504645719.06,1504645718.67
1504645719.07,1504645718.68
1504645719.08,1504645718.69
1504645719.09,1504645718.7
1504645719.1,1504645718.71
1504645719.11,1504645718.72
1504645721.016,1504645721.02
1504645721.026,1504645721.03
1504645721.036,1504645721.04
1504645721.046,1504645721.05
1504645721.056,1504645721.06
1504645721.066,1504645721.07
1504645721.076,1504645721.08
1504645721.086,1504645721.09
1504645721.096,1504645721.1
1504645721.106,1504645721.11
1504645721.116,1504645721.12
1504645721.126,1504645721.13
1504645721.136,1504645721.14
1504645721.146,1504645721.15
1504645721.156,1504645721.16
1504645721.166,1504645721.17
1504645721.176,1504645721.18
1504645721.186,1504645721.19
1504645721.196,1504645721.2
1504645721.206,1504645721.21
1504645721.216,1504645721.22
1504645721.226,1504645721.23
1504645721.236,1504645721.24
1504645721.246,1504645721.25
1504645721.256,1504645721.26
1504645721.266,1504645721.27
1504645721.276,1504645721.28
1504645721.286,1504645721.29
1504645721.296,1504645721.3
1504645721.306,1504645721.31
1504645721.316,1504645721.32
1504645721.326,1504645721.33
1504645721.336,1504645721.34
1504645721.346,1504645721.35
1504645721.356,1504645721.36
1504645721.366,1504645721.37
1504645721.376,1504645721.38
1504645721.386,1504645721.39
1504645721.396,1504645721.4
1504645721.406,1504645721.41
1504645721.416,1504645721.42
1504645721.426,1504645721.43
1504645721.436,1504645721.44
1504645721.446,1504645721.45
1504645721.456,1504645721.46
1504645721.466,1504645721.47
1504645721.476,1504645721.48
1504645721.486,1504645721.49
1504645721.496,1504645721.5
1504645721.506,1504645721.51
1504645721.516,1504645721.52
1504645721.526,1504645721.53
1504645721.536,1504645721.54
1504645721.546,1504645721.55
1504645721.556,1504645721.56
1504645721.566,1504645721.57
1504645721.576,1504645721.58
1504645721.586,1504645721.59
1504645721.596,1504645721.6
1504645721.606,1504645721.61
1504645721.616,1504645721.62
1504645721.626,1504645721.63
1504645721.636,1504645721.64
1504645721.646,1504645721.65
1504645721.656,1504645721.66
1504645721.666,1504645721.67
1504645721.676,1504645721.68
1504645721.686,1504645721.69
1504645721.696,1504645721.7
1504645721.706,1504645721.71
1504645721.716,1504645721.72
1504645721.726,1504645721.73
1504645721.736,1504645721.74
1504645721.746,1504645721.75
1504645721.756,1504645721.76
1504645721.766,1504645721.77
1504645721.776,1504645721.78
1504645721.786,1504645721.79
1504645721.796,1504645721.8
1504645725.937,1504645725.94
1504645725.947,1504645725.95
1504645725.957,1504645725.96
1504645725.967,1504645725.97
1504645725.977,1504645725.98
1504645725.987,1504645725.99
1504645725.997,1504645726.0
1504645726.007,1504645726.01
1504645726.017,1504645726.02
1504645726.027,1504645726.03
1504645726.037,1504645726.04
1504645726.047,1504645726.05
1504645726.057,1504645726.06
1504645726.067,1504645726.07
1504645726.077,1504645726.08
1504645726.087,1504645726.09
1504645726.097,1504645726.1
1504645726.107,1504645726.11
1504645726.117,1504645726.12
1504645726.127,1504645726.13
1504645726.137,1504645726.14
1504645726.147,1504645726.15
1504645726.157,1504645726.16
1504645726.167,1504645726.17
1504645726.177,1504645726.18
1504645726.187,1504645726.19
1504645726.197,1504645726.2
1504645726.207,1504645726.21
1504645726.217,1504645726.22
1504645726.227,1504645726.23
1504645726.237,1504645726.24
1504645726.247,1504645726.25
1504645726.257,1504645726.26
1504645726.267,1504645726.27
1504645726.277,1504645726.28
1504645726.287,1504645726.29
1504645726.297,1504645726.3
1504645726.307,1504645726.31
1504645726.317,1504645726.32
1504645726.327,1504645726.33
1504645726.337,1504645726.34
1504645726.347,1504645726.35
1504645726.357,1504645726.36
1504645726.367,1504645726.37
1504645726.377,1504645726.38
1504645726.387,1504645726.39
1504645726.397,1504645726.4
1504645726.407,1504645726.41
1504645726.417,1504645726.42
1504645726.427,1504645726.43
1504645726.437,1504645726.44
1504645726.447,1504645726.45
1504645726.457,1504645726.46
1504645726.467,1504645726.47
1504645726.477,1504645726.48
1504645726.487,1504645726.49
1504645726.497,1504645726.5
1504645726.507,1504645726.51
1504645726.517,1504645726.52
1504645726.527,1504645726.53
1504645726.537,1504645726.54
1504645726.547,1504645726.55
1504645726.557,1504645726.56
1504645726.567,1504645726.57
1504645726.577,1504645726.58
1504645726.587,1504645726.59
1504645726.597,1504645726.6
1504645726.607,1504645726.61
1504645726.617,1504645726.62
1504645726.627,1504645726.63
1504645726.637,1504645726.64
1504645726.647,1504645726.65
1504645726.657,1504645726.66
1504645726.667,1504645726.67
1504645726.677,1504645726.68
1504645726.687,1504645726.69
1504645726.687,1504645726.7
1504645727.57,1504645727.57
1504645727.58,1504645727.58
1504645727.59,1504645727.59
1504645727.6,1504645727.6
1504645727.61,1504645727.61
1504645727.62,1504645727.62
1504645727.63,1504645727.63
1504645727.64,1504645727.64
1504645727.65,1504645727.65
1504645727.66,1504645727.66
1504645727.67,1504645727.67
1504645727.68,1504645727.68
1504645727.69,1504645727.69
1504645727.7,1504645727.7
1504645727.71,1504645727.71
1504645727.72,1504645727.72
1504645727.73,1504645727.73
1504645727.74,1504645727.74
1504645727.75,1504645727.75
1504645727.76,1504645727.76
1504645727.77,1504645727.77
1504645727.78,1504645727.78
1504645727.79,1504645727.79
1504645727.8,1504645727.8
1504645727.81,1504645727.81
1504645727.82,1504645727.82
1504645727.83,1504645727.83
1504645727.84,1504645727.84
1504645727.85,1504645727.85
1504645727.86,1504645727.86
1504645727.87,1504645727.87
1504645727.88,1504645727.88
1504645727.89,1504645727.89
1504645727.9,1504645727.9
1504645727.91,1504645727.91
1504645727.92,1504645727.92
1504645727.93,1504645727.93
1504645727.94,1504645727.94
1504645727.95,1504645727.95
1504645727.96,1504645727.96
1504645727.97,1504645727.97
1504645727.98,1504645727.98
1504645727.99,1504645727.99
1504645728.0,1504645728.0
1504645728.01,1504645728.01
1504645728.02,1504645728.02
1504645728.03,1504645728.03
1504645728.04,1504645728.04
1504645728.05,1504645728.05
1504645728.06,1504645728.06
1504645728.07,1504645728.07
1504645728.08,1504645728.08
1504645728.09,1504645728.09
1504645728.1,1504645728.1
1504645728.11,1504645728.11
1504645728.12,1504645728.12
1504645728.13,1504645728.13
1504645728.14,1504645728.14
1504645728.15,1504645728.15
1504645728.16,1504645728.16
1504645728.16,1504645728.17
1504645728.16,1504645728.18
1504645728.161,1504645728.19
1504645728.161,1504645728.2
1504645728.161,1504645728.21
1504645728.162,1504645728.22
1504645728.162,1504645728.23
1504645728.162,1504645728.24
1504645728.163,1504645728.25
1504645728.163,1504645728.26
1504645728.163,1504645728.27
1504645728.164,1504645728.28
1504645728.164,1504645728.29
1504645728.164,1504645728.3
1504645728.165,1504645728.31
1504645728.165,1504645728.32
1504645728.165,1504645728.33
1504645728.166,1504645728.34
1504645728.166,1504645728.35
1504645728.166,1504645728.36
1504645728.167,1504645728.37
1504645728.167,1504645728.38
1504645728.167,1504645728.39
1504645728.168,1504645728.4
1504645728.168,1504645728.41
1504645728.168,1504645728.42
1504645728.169,1504645728.43
1504645728.169,1504645728.44
1504645728.169,1504645728.45
1504645728.17,1504645728.46
