Truth,Error
145963620,145963639
145963680,145963686
145963740,145963742
145963800,145963784
145963860,145963860
145963920,145963919
145963980,145963981
145964040,145964036
145964100,145964101
145964160,145964158
145964220,145964209
145964280,145964290
145964340,145964350
145964400,145964419
145964460,145964462
145964520,145964518
145964580,145964577
145968000,145968019
145968060,145968066
145968120,145968128
145968180,145968188
145968240,145968244
145968300,145968289
145968360,145968375
145968420,145968409
145968480,145968484
145968540,145968548
145968600,145968594
145968660,145968663
145968720,145968733
145968780,145968781
145968840,145968834
145968900,145968873
145968960,145968953
145969020,145969017
145969080,145969077
145969140,145969133
145969200,145969205
145969260,145969257
145969320,145969320
145969380,145969388
145969440,145969434
145969500,145969499
145969560,145969583
145969620,145969630
145969680,145969670
145969740,145969741
145969800,145969807
145969860,145969874
145969920,145969923
145969980,145969977
145970040,145970035
145970100,145970108
145970160,145970165
145970220,145970217
145970280,145970280
145970340,145970338
145970400,145970409
145970460,145970456
145970520,145970526
145970580,145970590
145970640,145970646
145970700,145970694
145970760,145970775
145970820,145970816
145970880,145970886
145970940,145970935
145971000,145970985
145971060,145971064
145971120,145971124
145971180,145971181
145971240,145971244
145971300,145971296
145971360,145971355
145971420,145971420
145971480,145971501
145971540,145971550
145971600,145971597
145971660,145971667
145971720,145971718
145971780,145971778
145971840,145971850
145971900,145971897
145971960,145971946
145972020,145972013
145972080,145972082
145972140,145972143
145972200,145972214
145972260,145972255
145972320,145972329
145972380,145972386
145972440,145972440
145972500,145972510
145972560,145972566
145972620,145972614
145972680,145972692
145972740,145972730
145972800,145972802
145972860,145972862
145972920,145972926
145972980,145972975
145973040,145973041
145973100,145973100
145973160,145973171
145973220,145973215
145973280,145973282
145973340,145973340
145973400,145973390
145973460,145973488
145973520,145973521
145973580,145973568
145973640,145973656
145973700,145973692
145973760,145973765
145973820,145973830
145973880,145973876
145973940,145973938
145974000,145973997
145974060,145974060
145974120,145974106
145974180,145974170
145974240,145974240
145974300,145974312
145974360,145974368
145974420,145974439
145974480,145974488
145974540,145974537
145974600,145974600
145974660,145974642
145974720,145974713
145974780,145974772
145974840,145974844
145974900,145974908
145974960,145974957
145975020,145975017
145975080,145975067
145975140,145975140
145975200,145975204
145975260,145975266
145975320,145975315
145975380,145975401
145975440,145975453
145975500,145975501
145975560,145975557
145975620,145975619
145975680,145975683
145975740,145975741
145975800,145975806
145975860,145975869
145975920,145975935
145975980,145975993
145976040,145976040
145976100,145976105
145976160,145976159
145976220,145976217
145976280,145976301
145976340,145976338
145976400,145976421
145976460,145976459
145976520,145976524
145976580,145976592
145976640,145976642
145976700,145976705
145976760,145976760
145976820,145976818
145976880,145976880
145976940,145976936
145977000,145977018
145977060,145977060
145977120,145977139
145977180,145977156
145977240,145977242
145977300,145977307
145977360,145977360
145977420,145977432
145977480,145977488
145977540,145977540
145977600,145977606
145977660,145977690
145977720,145977724
145977780,145977784
145977840,145977838
145977900,145977903
145977960,145977950
145978020,145978020
145978080,145978106
145978140,145978152
145978200,145978208
145978260,145978273
145978320,145978340
145978380,145978387
145978440,145978462
145978500,145978512
145978560,145978563
145978620,145978639
145978680,145978659
145978740,145978737
145978800,145978804
145978860,145978853
145978920,145978920
145978980,145978976
145979040,145979036
145979100,145979129
145979160,145979168
145979220,145979221
145979280,145979295
145979340,145979340
145979400,145979410
145979460,145979465
145981860,145981854
145981920,145981908
145981980,145981981
145982040,145982045
145982100,145982096
145982160,145982178
145982220,145982224
145982280,145982286
145982340,145982334
145982400,145982401
145982460,145982460
145982520,145982500
145982580,145982584
145982640,145982625
145982700,145982701
145982760,145982748
145982820,145982842
145982880,145982885
145982940,145982950
145983000,145983011
145983060,145983049
145983120,145983100
145983180,145983179
145983240,145983250
145983300,145983302
145983360,145983369
145983420,145983431
145983480,145983468
145983540,145983544
145983600,145983621
145983660,145983657
145983720,145983702
145983780,145983780
145983840,145983838
145983900,145983906
145983960,145983954
145984020,145984022
145984080,145984060
145984140,145984150
145984200,145984217
145984260,145984274
145984320,145984307
145984380,145984385
145984440,145984413
145984500,145984504
145984560,145984561
145984620,145984613
145984680,145984685
145984740,145984743
145984800,145984811
145984860,145984863
145984920,145984924
145984980,145984963
145985040,145985031
145985100,145985098
145985160,145985164
145985220,145985221
145985280,145985297
145985340,145985334
145985400,145985400
145989180,145989175
145989240,145989251
145989300,145989318
145989360,145989358
145989420,145989432
145989480,145989493
145989540,145989531
145989600,145989601
145989660,145989661
145989720,145989723
145989780,145989767
145989840,145989839
145989900,145989912
145989960,145989974
145990020,145990040
145990080,145990079
145990140,145990160
145990200,145990208
145990260,145990249
145990320,145990329
145990380,145990379
145990440,145990447
145990500,145990500
145990560,145990574
145990620,145990624
145990680,145990680
145990740,145990751
145990800,145990804
145990860,145990858
145990920,145990934
145990980,145990978
145991040,145991036
145991100,145991097
145991160,145991148
145991220,145991217
145991280,145991300
145991340,145991333
145991400,145991402
145991460,145991451
145991520,145991516
145991580,145991597
145991640,145991650
145991700,145991696
145991760,145991762
145991820,145991814
145991880,145991875
145991940,145991933
145992000,145991994
145992060,145992065
145992120,145992127
145992180,145992186
145992240,145992240
145992300,145992289
145992360,145992361
145992420,145992413
145992480,145992490
145992540,145992547
145992600,145992609
145992660,145992659
145992720,145992704
145992780,145992791
145992840,145992854
145992900,145992888
145992960,145992963
145993020,145993033
145993080,145993072
145993140,145993159
145993200,145993199
145993260,145993252
145993320,145993335
145993380,145993384
145993440,145993436
145993500,145993510
145993560,145993543
145993620,145993640
145996440,145996440
145996500,145996492
145996560,145996547
145996620,145996612
145996680,145996672
145996740,145996724
145996800,145996808
145996860,145996863
145996920,145996918
145996980,145996974
145997040,145997027
145997100,145997093
145997160,145997180
145997220,145997200
145997280,145997283
145997340,145997349
145997400,145997403
145997460,145997459
145997520,145997529
145997580,145997571
145997640,145997647
145997700,145997716
145997760,145997752
145997820,145997814
145997880,145997883
145997940,145997951
145998000,145998015
145998060,145998068
145998120,145998116
145998180,145998171
145998240,145998244
145998300,145998305
145998360,145998351
145998420,145998422
145998480,145998485
145998540,145998552
145998600,145998593
145998660,145998667
145998720,145998711
145998780,145998778
145998840,145998841
145998900,145998917
145998960,145998995
145999020,145999024
145999080,145999086
145999140,145999152
145999200,145999189
145999260,145999269
145999320,145999310
145999380,145999398
145999440,145999456
145999500,145999507
145999560,145999554
145999620,145999638
145999680,145999684
145999740,145999743
145999800,145999807
145999860,145999845
145999920,145999926
145999980,145999991
146000040,146000045
146000100,146000103
146000160,146000153
146000220,146000228
146009580,146009570
146009640,146009643
146009700,146009706
146009760,146009746
146009820,146009814
146009880,146009888
146009940,146009949
146010000,146010004
146010060,146010067
146010120,146010125
146010180,146010183
146010240,146010240
146010300,146010294
146010360,146010360
146010420,146010418
146010480,146010505
146010540,146010544
146010600,146010601
146010660,146010660
146010720,146010720
146010780,146010780
146010840,146010847
146010900,146010901
146010960,146010970
146011020,146011016
146011080,146011085
146011140,146011150
146011200,146011191
146011260,146011263
146011320,146011324
146011380,146011379
146011440,146011438
146011500,146011484
146011560,146011573
146011620,146011613
146011680,146011670
146011740,146011748
146011800,146011784
146011860,146011871
146011920,146011926
146011980,146011987
146012040,146012040
146012100,146012090
146012160,146012144
146012220,146012236
146012280,146012278
146012340,146012337
146012400,146012417
146015760,146015752
146015820,146015827
146015880,146015899
146015940,146015934
146016000,146015995
146016060,146016045
146016120,146016124
146016180,146016190
146016240,146016249
146016300,146016310
146016360,146016376
146016420,146016423
146016480,146016491
146016540,146016533
146016600,146016595
146016660,146016664
146016720,146016714
146016780,146016787
146016840,146016855
146016900,146016906
146016960,146016955
146017020,146017015
146017080,146017095
146017140,146017135
146017200,146017202
146017260,146017260
146017320,146017322
146017380,146017392
146017440,146017437
146017500,146017488
146017560,146017576
146017620,146017624
146017680,146017689
146017740,146017741
146017800,146017809
146017860,146017874
146017920,146017935
146023320,146023316
146023380,146023382
146023440,146023445
146023500,146023517
146023560,146023557
146023620,146023622
146023680,146023693
146023740,146023717
146023800,146023800
146023860,146023843
146023920,146023904
146023980,146024001
146024040,146024044
146024100,146024116
146024160,146024160
146024220,146024227
146024280,146024278
146024340,146024337
146024400,146024401
146024460,146024463
146024520,146024537
146024580,146024580
146024640,146024645
146024700,146024700
146024760,146024763
146024820,146024809
146024880,146024892
146024940,146024937
146025000,146025002
146025060,146025060
146025120,146025131
146025180,146025187
146025240,146025242
146025300,146025303
146025360,146025365
146025420,146025429
146025480,146025487
146025540,146025554
146025600,146025618
146025660,146025668
146025720,146025709
146025780,146025799
146025840,146025863
146025900,146025899
146025960,146025958
146026020,146026002
146026080,146026089
146026140,146026132
146026200,146026220
146026260,146026238
146026320,146026322
146026380,146026388
146026440,146026438
146026500,146026495
146026560,146026564
146026620,146026617
146026680,146026679
146026740,146026741
146026800,146026797
146026860,146026860
146026920,146026929
146026980,146026979
146027040,146027043
146027100,146027095
146027160,146027171
146027220,146027210
146027280,146027291
146027340,146027312
146027400,146027393
146027460,146027447
146027520,146027532
146027580,146027584
146027640,146027629
146032140,146032131
146032200,146032199
146032260,146032263
146032320,146032319
146032380,146032367
146032440,146032440
146032500,146032502
146032560,146032572
146032620,146032620
146032680,146032678
146032740,146032730
146032800,146032821
146032860,146032852
146032920,146032910
146032980,146032980
146033040,146033023
146033100,146033111
146033160,146033162
146033220,146033226
146033280,146033272
146033340,146033337
146033400,146033409
146033460,146033470
146033520,146033549
146033580,146033592
146033640,146033623
146033700,146033702
146033760,146033758
146033820,146033832
146033880,146033880
146033940,146033946
146034000,146033999
146034060,146034067
146034120,146034136
146034180,146034176
146034240,146034222
146034300,146034292
146034360,146034377
146034420,146034423
146034480,146034479
146034540,146034532
146034600,146034611
146034660,146034664
146034720,146034720
146034780,146034777
146034840,146034840
146034900,146034899
146034960,146034967
146035020,146035034
146035080,146035062
146035140,146035127
146035200,146035200
146035260,146035262
146035320,146035306
146035380,146035376
146035440,146035438
146035500,146035498
146035560,146035557
146035620,146035620
146035680,146035690
146035740,146035748
146035800,146035807
146035860,146035864
146035920,146035915
146035980,146035977
146036040,146036048
146036100,146036102
146036160,146036169
146036220,146036224
146036280,146036282
146036340,146036345
146036400,146036387
146036460,146036460
146036520,146036516
146036580,146036589
146041380,146041397
146041440,146041420
146041500,146041484
146041560,146041549
146041620,146041624
146041680,146041688
146041740,146041740
146041800,146041822
146041860,146041859
146041920,146041920
146041980,146041978
146042040,146042053
146042100,146042100
146042160,146042157
146042220,146042237
146042280,146042293
146042340,146042351
146042400,146042389
146042460,146042451
146042520,146042519
146042580,146042579
146042640,146042637
146042700,146042699
146042760,146042767
146042820,146042811
146042880,146042883
146042940,146042938
146043000,146042997
146043060,146043059
146043120,146043128
146043180,146043184
146043240,146043234
146043300,146043304
146043360,146043362
146043420,146043425
146048760,146048766
146048820,146048820
146048880,146048882
146048940,146048924
146049000,146048988
146049060,146049033
146049120,146049120
146049180,146049198
146049240,146049259
146049300,146049291
146049360,146049368
146049420,146049434
146049480,146049479
146049540,146049523
146049600,146049616
146049660,146049659
146049720,146049719
146049780,146049799
146049840,146049846
146049900,146049910
146049960,146049978
146050020,146050020
