date,Error
145489980,145489994
145490040,145490032
145490100,145490093
145490160,145490148
145490220,145490226
145490280,145490255
145490340,145490355
145490400,145490391
145490460,145490461
145490520,145490516
145490580,145490592
145490640,145490618
145490700,145490695
145490760,145490755
145490820,145490829
145490880,145490868
145490940,145490937
145491000,145490990
145491060,145491059
145491120,145491123
145491180,145491167
145491240,145491249
145491300,145491307
145491360,145491363
145491420,145491427
145491480,145491472
145491540,145491537
145491600,145491589
145491660,145491656
145491720,145491723
145491780,145491772
145491840,145491835
145495800,145495799
145495860,145495852
145495920,145495924
145495980,145495974
145496040,145496050
145496100,145496102
145496160,145496163
145496220,145496208
145496280,145496280
145496340,145496345
145496400,145496389
145496460,145496456
145496520,145496519
145496580,145496565
145496640,145496641
145496700,145496706
145496760,145496750
145496820,145496821
145496880,145496865
145496940,145496938
145497000,145496982
145497060,145497069
145497120,145497122
145497180,145497178
145497240,145497231
145497300,145497310
145497360,145497377
145497420,145497400
145497480,145497490
145497540,145497554
145497600,145497601
145497660,145497647
145497720,145497726
145497780,145497777
145497840,145497832
145497900,145497886
145497960,145497963
145498020,145498025
145498080,145498072
145498140,145498143
145498200,145498187
145498260,145498266
145498320,145498319
145498380,145498377
145498440,145498437
145498500,145498506
145498560,145498565
145498620,145498623
145498680,145498680
145498740,145498739
145498800,145498804
145498860,145498860
145498920,145498924
145498980,145498975
145499040,145499014
145499100,145499108
145499160,145499179
145499220,145499222
145499280,145499277
145499340,145499337
145499400,145499397
145499460,145499459
145499520,145499507
145499580,145499573
145499640,145499629
145499700,145499700
145499760,145499756
145499820,145499822
145499880,145499877
145499940,145499947
145500000,145500000
145500060,145500079
145500120,145500100
145500180,145500172
145500240,145500247
145500300,145500323
145500360,145500356
145500420,145500419
145500480,145500476
145500540,145500551
145500600,145500596
145500660,145500664
145500720,145500715
145500780,145500766
145500840,145500841
145500900,145500903
145500960,145500970
145501020,145501017
145501080,145501072
145501140,145501143
145501200,145501200
145501260,145501260
145501320,145501318
145501380,145501389
145501440,145501441
145501500,145501517
145506480,145506470
145506540,145506524
145506600,145506610
145506660,145506656
145506720,145506731
145506780,145506771
145506840,145506834
145506900,145506899
145506960,145506967
145507020,145507019
145507080,145507080
145507140,145507139
145507200,145507200
145507260,145507247
145507320,145507319
145507380,145507377
145507440,145507438
145507500,145507502
145507560,145507552
145507620,145507618
145507680,145507676
145507740,145507742
145507800,145507805
145507860,145507849
145507920,145507923
145507980,145507998
145508040,145508024
145508100,145508090
145508160,145508150
145508220,145508216
145508280,145508294
145508340,145508339
145508400,145508392
145508460,145508464
145508520,145508513
145508580,145508589
145508640,145508641
145508700,145508711
145508760,145508752
145508820,145508848
145508880,145508886
145508940,145508944
145509000,145508998
145509060,145509051
145509120,145509110
145509180,145509177
145509240,145509231
145509300,145509300
145509360,145509350
145509420,145509424
145509480,145509487
145509540,145509531
145509600,145509609
145509660,145509656
145509720,145509729
145509780,145509782
145509840,145509849
145509900,145509889
145509960,145509957
145510020,145510032
145510080,145510072
145510140,145510118
145510200,145510179
145510260,145510233
145510320,145510297
145510380,145510374
145510440,145510450
145510500,145510494
145510560,145510561
