Date_Time,Error
10789416,10789424
10789452,10789454
10789488,10789488
10789524,10789515
10789560,10789559
10789596,10789595
10789632,10789632
10789668,10789665
10789704,10789704
10789740,10789738
10789776,10789770
10789812,10789816
10789848,10789852
10789884,10789892
10789920,10789920
10789956,10789954
10789992,10789990
10793700,10793706
10793736,10793733
10793772,10793774
10793808,10793805
10793844,10793836
10793880,10793881
10793916,10793917
10793952,10793952
10793988,10793989
10794024,10794021
10794060,10794057
10794096,10794096
10794132,10794141
10794168,10794172
10794204,10794202
10794240,10794242
10794276,10794274
10794312,10794310
10794348,10794352
10794384,10794382
10794420,10794412
10794456,10794452
10794492,10794492
10794528,10794528
10794564,10794570
10794600,10794597
10794636,10794639
10794672,10794674
10794708,10794708
10794744,10794748
10794780,10794782
10794816,10794812
10794852,10794857
10794888,10794882
10794924,10794924
10794960,10794960
10794996,10794998
10795032,10795029
10795068,10795068
10795104,10795104
10795140,10795144
10795176,10795173
10795212,10795212
10795248,10795247
10795284,10795278
10795320,10795333
10795356,10795356
10795392,10795385
10795428,10795435
10795464,10795459
10795500,10795501
10795536,10795540
10795572,10795569
10795608,10795606
10795644,10795642
10795680,10795680
10795716,10795708
10795752,10795746
10795788,10795788
10795824,10795829
10795860,10795863
10795896,10795904
10795932,10795935
10795968,10795966
10796004,10796004
10796040,10796030
10796076,10796072
10796112,10796107
10796148,10796149
10796184,10796187
10796220,10796218
10796256,10796254
10796292,10796285
10796328,10796328
10796364,10796365
10796400,10796402
10796436,10796433
10796472,10796481
10796508,10796513
10796544,10796544
10796580,10796578
10796616,10796615
10796652,10796652
10796688,10796688
10796724,10796726
10796760,10796763
10796796,10796802
10796832,10796837
10796868,10796868
10796904,10796905
10796940,10796939
10796976,10796974
10797012,10797021
10797048,10797046
10797084,10797093
10797120,10797119
10797156,10797157
10797192,10797197
10797228,10797228
10797264,10797265
10797300,10797299
10797336,10797334
10797372,10797372
10797408,10797405
10797444,10797452
10797480,10797480
10797516,10797524
10797552,10797539
10797588,10797588
10797624,10797626
10797660,10797659
10797696,10797701
10797732,10797735
10797768,10797767
10797804,10797806
10797840,10797854
10797876,10797877
10797912,10797913
10797948,10797946
10797984,10797984
10798020,10798014
10798056,10798056
10798092,10798104
10798128,10798133
10798164,10798167
10798200,10798205
10798236,10798245
10798272,10798274
10798308,10798318
10798344,10798349
10798380,10798380
10798416,10798424
10798452,10798441
10798488,10798486
10798524,10798525
10798560,10798556
10798596,10798596
10798632,10798629
10798668,10798665
10798704,10798717
10798740,10798743
10798776,10798776
10798812,10798818
10798848,10798847
10798884,10798888
10798920,10798921
10801440,10801438
10801476,10801466
10801512,10801511
10801548,10801546
10801584,10801586
10801620,10801616
10801656,10801656
10801692,10801681
10801728,10801732
10801764,10801771
10801800,10801806
10801836,10801829
10801872,10801873
10801908,10801894
10801944,10801945
10801980,10801980
10802016,10802012
10802052,10802053
10802088,10802088
10802124,10802128
10802160,10802160
10802196,10802197
10802232,10802223
10802268,10802263
10802304,10802302
10802340,10802341
10802376,10802376
10802412,10802419
10802448,10802444
10802484,10802483
10806624,10806618
10806660,10806660
10806696,10806692
10806732,10806736
10806768,10806770
10806804,10806807
10806840,10806839
10806876,10806867
10806912,10806916
10806948,10806954
10806984,10806977
10807020,10807020
10807056,10807061
10807092,10807087
10807128,10807136
10807164,10807163
10807200,10807195
10807236,10807242
10807272,10807273
10807308,10807305
10807344,10807348
10807380,10807371
10807416,10807425
10810404,10810400
10810440,10810442
10810476,10810471
10810512,10810510
10810548,10810548
10810584,10810591
10810620,10810636
10810656,10810657
10810692,10810694
10810728,10810733
10810764,10810758
10810800,10810803
10810836,10810830
10810872,10810880
10810908,10810915
10810944,10810946
10810980,10810976
10811016,10811024
10811052,10811053
10811088,10811088
10811124,10811126
10811160,10811152
10811196,10811198
10811232,10811236
10811268,10811269
10811304,10811304
10811340,10811336
10811376,10811379
10815336,10815337
10815372,10815378
10815408,10815402
10815444,10815452
10815480,10815481
10815516,10815515
10815552,10815543
10815588,10815593
10815624,10815620
10815660,10815658
10815696,10815698
10815732,10815727
10815768,10815764
10815804,10815799
10815840,10815840
10815876,10815878
10815912,10815914
10815948,10815950
10815984,10815983
10816020,10816020
10816056,10816053
10816092,10816101
10816128,10816128
10816164,10816155
10816200,10816195
10816236,10816244
10816272,10816266
10816308,10816306
10816344,10816346
10816380,10816375
10816416,10816421
10816452,10816460
10816488,10816484
10816524,10816529
10816560,10816556
10816596,10816592
10816632,10816633
10816668,10816669
10819512,10819515
10819548,10819548
10819584,10819578
10819620,10819626
10819656,10819662
10819692,10819699
10819728,10819728
10819764,10819765
10819800,10819799
10819836,10819832
10819872,10819872
10819908,10819908
10819944,10819941
10819980,10819989
10820016,10820008
10820052,10820048
10820088,10820085
10820124,10820130
10820160,10820159
10820196,10820195
10820232,10820228
10820268,10820265
10820304,10820298
10820340,10820345
10820376,10820379
10820412,10820416
10820448,10820445
10820484,10820496
10820520,10820516
10820556,10820546
10820592,10820591
10820628,10820628
10820664,10820667
10820700,10820695
10820736,10820738
10820772,10820780
10820808,10820804
10820844,10820841
10820880,10820872
10820916,10820917
10820952,10820956
10820988,10820991
10821024,10821028
10821060,10821067
10821096,10821096
10821132,10821136
10821168,10821164
10821204,10821201
10821240,10821241
10821276,10821272
10821312,10821314
10821348,10821354
10821384,10821386
10821420,10821417
10821456,10821453
10821492,10821498
10821528,10821525
10821564,10821564
10821600,10821599
10821636,10821636
10821672,10821677
10821708,10821706
10821744,10821737
10821780,10821787
10821816,10821817
10821852,10821855
10821888,10821888
10821924,10821927
10821960,10821966
10821996,10822002
10822032,10822031
10828116,10828127
10828152,10828150
10828188,10828190
10828224,10828220
10828260,10828266
10828296,10828294
10828332,10828330
10828368,10828359
10828404,10828402
10828440,10828440
10828476,10828482
10828512,10828506
10828548,10828552
10828584,10828583
10828620,10828619
10828656,10828652
10828692,10828684
10828728,10828722
10828764,10828771
10828800,10828794
10828836,10828834
10828872,10828877
10828908,10828898
10828944,10828945
10828980,10828978
10829016,10829016
10829052,10829056
10829088,10829087
10829124,10829123
10829160,10829163
10829196,10829198
10829232,10829229
10829268,10829267
10829304,10829298
10829340,10829346
10829376,10829370
10829412,10829412
10829448,10829456
10829484,10829487
10829520,10829519
10829556,10829553
10829592,10829589
10829628,10829632
10829664,10829665
10829700,10829700
10829736,10829748
10829772,10829768
10829808,10829806
10829844,10829842
10829880,10829880
10829916,10829917
10833696,10833696
10833732,10833733
10833768,10833764
10833804,10833811
10833840,10833836
10833876,10833879
10833912,10833913
10833948,10833940
10833984,10833984
10834020,10834012
10834056,10834056
10834092,10834094
10834128,10834136
10834164,10834167
10834200,10834192
10834236,10834234
10834272,10834279
10834308,10834308
10834344,10834352
10834380,10834376
10834416,10834413
10834452,10834445
10834488,10834486
10834524,10834529
10834560,10834555
10834596,10834599
10834632,10834633
10834668,10834671
10834704,10834703
10842948,10842953
10842984,10842974
10843020,10843016
10843056,10843051
10843092,10843092
10843128,10843126
10843164,10843166
10843200,10843197
10843236,10843242
10843272,10843275
10843308,10843306
10843344,10843336
10843380,10843375
10843416,10843409
10843452,10843458
10843488,10843491
10843524,10843518
10843560,10843569
10843596,10843595
10843632,10843621
10843668,10843673
10843704,10843710
10843740,10843740
10843776,10843772
10843812,10843818
10843848,10843846
10843884,10843884
10843920,10843922
10848312,10848316
10848348,10848350
10848384,10848380
10848420,10848422
10848456,10848454
10848492,10848489
10848528,10848528
10848564,10848575
10848600,10848596
10848636,10848641
10848672,10848673
10848708,10848701
10848744,10848740
10848780,10848780
10851264,10851259
10851300,10851292
10851336,10851337
10851372,10851366
10851408,10851404
10851444,10851443
10851480,10851483
10851516,10851514
10851552,10851550
10851588,10851586
10851624,10851625
10851660,10851658
10851696,10851696
10851732,10851738
10851768,10851767
10851804,10851802
10851840,10851836
10851876,10851872
10851912,10851906
10851948,10851943
10851984,10851981
10852020,10852021
10852056,10852058
10852092,10852090
10852128,10852129
10852164,10852158
10852200,10852209
10852236,10852247
10852272,10852272
10852308,10852310
10852344,10852344
10852380,10852383
10852416,10852413
10852452,10852445
10852488,10852491
10852524,10852519
10852560,10852561
10852596,10852592
10852632,10852628
10852668,10852672
10852704,10852711
10852740,10852739
10852776,10852774
10852812,10852813
10852848,10852845
10852884,10852876
10852920,10852920
10852956,10852945
10852992,10852993
10853028,10853026
10853064,10853064
10853100,10853093
10853136,10853132
10853172,10853174
10853208,10853214
10853244,10853247
10853280,10853281
10853316,10853311
10853352,10853354
10853388,10853388
10853424,10853423
10853460,10853466
10853496,10853492
10853532,10853540
10853568,10853565
10853604,10853601
10853640,10853640
10853676,10853670
10853712,10853710
10853748,10853748
10853784,10853776
10853820,10853816
10853856,10853849
10853892,10853890
10853928,10853933
10853964,10853962
10854000,10853999
10854036,10854036
10854072,10854067
10854108,10854108
10854144,10854142
10854180,10854177
10854216,10854208
10854252,10854249
10854288,10854292
10854324,10854329
10854360,10854359
10854396,10854396
10854432,10854430
10854468,10854463
10854504,10854495
10854540,10854548
10856664,10856663
10856700,10856704
10856736,10856736
10856772,10856778
10856808,10856811
